EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,MAGNITUDE_TYPE,SOURCE,TOR_LENGTH,TOR_WIDTH,BEGIN_DIRECTION,END_DIRECTION,END_LOCATION,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,Zip
563883,JEFFERSON CO.,WOODLAND HILLS,2015-04-25,1853,Hail,0.75, , ,Public, , ,S,S,WOODLAND HILLS,1853,38.24,-85.52,38.24,-85.52,Public reported penny size hail near Middletown.,"An area of low pressure approached the Ohio Valley from the northwest on April 25th.  Ahead of it, a strong warm front sharpened across southern Indiana and central Kentucky.  South of the front, sunshine broke out and helped temperatures surge into the 80s, while north of the front temperatures were only in the 50s. At one point, there was a 40 degree temperature difference across the state of Kentucky from north to south!  This strong front helped to focus severe thunderstorm development in the late afternoon and evening hours.  Many of the storms that formed were supercells, which dropped very large hail. Two of these supercells developed weak tornadoes during the evening hours.",40243
575906,JEFFERSON CO.,STRATHMOOR MANOR,2015-05-11,1727,Thunderstorm Wind,52, ,EG,Law Enforcement, , ,NNW,NNW,STRATHMOOR MANOR,1727,38.22,-85.63,38.22,-85.63,"A law enforcement official reported trees down in the 3000 block of Breckinridge Lane, at Breckinridge and Beargrass Run. Trees were also reported down on Pembroke Road.","A strong spring storm system tracked across the central Plains to the lower Great Lakes region, sparking several rounds of thunderstorms across the lower Ohio Valley. Scattered severe storms developed along a pre-frontal trough along and east of I-65 during the mid afternoon hours. These storms were responsible for damaging winds. A second round of storms developed and tracked through the Louisville metro before continuing on to northern Kentucky. These storms also produced sporadic wind damage.",40220
575907,OLDHAM CO.,PEWEE VLY,2015-05-11,1740,Thunderstorm Wind,52, ,EG,Public, , ,SW,SW,PEWEE VLY,1740,38.31,-85.49,38.31,-85.49,A report was received by the public of trees down across the area.,"A strong spring storm system tracked across the central Plains to the lower Great Lakes region, sparking several rounds of thunderstorms across the lower Ohio Valley. Scattered severe storms developed along a pre-frontal trough along and east of I-65 during the mid afternoon hours. These storms were responsible for damaging winds. A second round of storms developed and tracked through the Louisville metro before continuing on to northern Kentucky. These storms also produced sporadic wind damage.",40056
575908,OLDHAM CO.,GLENARM,2015-05-11,1743,Thunderstorm Wind,52, ,EG,Law Enforcement, , ,SW,SW,GLENARM,1743,38.34,-85.48,38.34,-85.48,A law enforcement official reported that trees were down across the county.,"A strong spring storm system tracked across the central Plains to the lower Great Lakes region, sparking several rounds of thunderstorms across the lower Ohio Valley. Scattered severe storms developed along a pre-frontal trough along and east of I-65 during the mid afternoon hours. These storms were responsible for damaging winds. A second round of storms developed and tracked through the Louisville metro before continuing on to northern Kentucky. These storms also produced sporadic wind damage.",40014
569582,JEFFERSON CO.,SYLVANIA,2015-05-27,1307,Hail,1, , ,Broadcast Media, , ,E,E,SYLVANIA,1307,38.15,-85.85,38.15,-85.85,A broadcast meteorologist relayed a report of 1 inch diameter hail.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40258
569585,BULLITT CO.,SHEPHERDSVILLE,2015-05-27,1325,Hail,0.88, , ,Emergency Manager, , ,NE,NE,SHEPHERDSVILLE,1325,37.99,-85.71,37.99,-85.71,The Bullitt County emergency manager reported hail up to nickel size in diameter.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40165
569586,JEFFERSON CO.,JEFFERSONTOWN,2015-05-27,1350,Thunderstorm Wind,52, ,EG,Law Enforcement, , ,N,N,JEFFERSONTOWN,1350,38.21,-85.57,38.21,-85.57,A law enforcement official reported multiple trees down across the city.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40299
569587,JEFFERSON CO.,JEFFERSONTOWN,2015-05-27,1350,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,NW,NW,JEFFERSONTOWN,1350,38.21,-85.58,38.21,-85.58,A broadcast media meteorologist relayed a report of a falling tree that damaged a garage on Harmony Drive in Jeffersontown.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40299
569588,JEFFERSON CO.,ST REGIS PARK,2015-05-27,1355,Hail,1, , ,Law Enforcement, , ,WSW,WSW,ST REGIS PARK,1355,38.22,-85.57,38.22,-85.57,A law enforcement official reported 1 inch diameter hail.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40299
569589,JEFFERSON CO.,STRATHMOOR VLG,2015-05-27,1359,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,E,E,STRATHMOOR VLG,1359,38.22,-85.58,38.22,-85.58,A broadcast media meteorologist relayed a report of a tree falling on a car at Sam Swope car dealership.,"The combination of a warm, humid air mass an approaching cold front to the northwest of the area produced scattered strong to severe thunderstorms during the afternoon and evening hours May 26 and May 27.",40299
569052,JEFFERSON CO.,(SDF)STANIFORD FLD L,2015-05-30,1528,Thunderstorm Wind,52, ,EG,Law Enforcement, , ,NE,NE,(SDF)STANIFORD FLD L,1528,38.1886,-85.7136,38.1886,-85.7136,An official with Louisville Metrosafe reported 3 trees down east and northeast of Louisville International Airport.,An approaching cold front sparked a round of strong to severe thunderstorms across central Kentucky. Storms developed during the late afternoon and early evening hours and produced sporadic severe wind damage.,40213
571621,JEFFERSON CO.,VALLEY STATION,2015-06-17,1632,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,SSE,SSE,VALLEY STATION,1632,38.1,-85.86,38.1,-85.86,A member of the broadcast media relayed a report of a large tree limb down in Valley Station.,A very moist and unstable air mass combined with a stalled frontal boundary across north central Kentucky to produce scattered to numerous thunderstorms. The strongest storms produced sporadic wind damage along with torrential rainfall. Standiford Field in Louisville reported a wind gust to 51 mph.,40272
571622,JEFFERSON CO.,SYLVANIA,2015-06-17,1635,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,E,E,SYLVANIA,1635,38.15,-85.85,38.15,-85.85,A member of the broadcast media reported multiple large tree limbs down.,A very moist and unstable air mass combined with a stalled frontal boundary across north central Kentucky to produce scattered to numerous thunderstorms. The strongest storms produced sporadic wind damage along with torrential rainfall. Standiford Field in Louisville reported a wind gust to 51 mph.,40258
571623,JEFFERSON CO.,FAIRDALE,2015-06-17,1640,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,NE,NE,FAIRDALE,1640,38.11,-85.76,38.11,-85.76,A member of the broadcast media relayed a report of a large tree limb down.,A very moist and unstable air mass combined with a stalled frontal boundary across north central Kentucky to produce scattered to numerous thunderstorms. The strongest storms produced sporadic wind damage along with torrential rainfall. Standiford Field in Louisville reported a wind gust to 51 mph.,40118
571624,JEFFERSON CO.,OKOLONA,2015-06-17,1646,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,SSE,SSE,OKOLONA,1646,38.11,-85.67,38.11,-85.67,A member of the broadcast media relayed a report that a large tree was blocking a road at 9600 Preston Highway.,A very moist and unstable air mass combined with a stalled frontal boundary across north central Kentucky to produce scattered to numerous thunderstorms. The strongest storms produced sporadic wind damage along with torrential rainfall. Standiford Field in Louisville reported a wind gust to 51 mph.,40229
575851,BULLITT CO.,BROOKS,2015-06-18,1552,Thunderstorm Wind,52, ,EG,State Official, , ,N,N,BROOKS,1552,38.08,-85.7,38.08,-85.7,A Kentucky state official reported a tree fell on a car as well as several trees down on Brooks Schoolhouse Road.,"Remnants of Tropical Storm Bill brought a very moist and tropical air mass to the lower Ohio Valley and combined with very warm temperatures, several rounds of strong to severe thunderstorms developed between June 18th and 20th. Damaging winds, hail, and flash flooding were the primary hazards during this period.",40129
575855,BULLITT CO.,BROOKS,2015-06-18,1554,Thunderstorm Wind,52, ,EG,Department of Highways, , ,NE,NE,BROOKS,1554,38.08,-85.69,38.08,-85.69,The Bullitt County highway department relayed a report of trees down at 1800 Hillview Boulevard.,"Remnants of Tropical Storm Bill brought a very moist and tropical air mass to the lower Ohio Valley and combined with very warm temperatures, several rounds of strong to severe thunderstorms developed between June 18th and 20th. Damaging winds, hail, and flash flooding were the primary hazards during this period.",40229
575830,JEFFERSON CO.,PARKWAY VLG,2015-06-18,1615,Thunderstorm Wind,52, ,EG,County Official, , ,E,E,PARKWAY VLG,1615,38.2,-85.68,38.2,-85.68,"A Jefferson County official reported to the NWS that a tree fell onto a home, collapsing the roof, in the Spring Creek Ct area. Officials with Metrosafe also reported several trees down at the intersection of Manchester and Lake Side as well as Taylor and Illinois.","Remnants of Tropical Storm Bill brought a very moist and tropical air mass to the lower Ohio Valley and combined with very warm temperatures, several rounds of strong to severe thunderstorms developed between June 18th and 20th. Damaging winds, hail, and flash flooding were the primary hazards during this period.",40218
576930,JEFFERSON CO.,CLARK,2015-06-26,45,Lightning, , , ,Broadcast Media, , ,SW,SW,CLARK,45,38.17,-85.43,38.17,-85.43,A broadcast meteorologist relayed a report to the NWS of a house struck by lightning. There were no injuries.,"A very warm and unstable air mass brought a few rounds of severe thunderstorms to central Kentucky, starting during the evening hours Thursday June 25th. Isolated storms developed first, producing some sporadic wind damage. Then later that night, a complex of organized storms brought damaging winds, large hail and flash flooding during the early morning hours June 26th. Later that same afternoon, a strong surface low pressure moved across central Kentucky and brought another round of severe storms with damaging winds, large hail and flash flooding.",40023
576950,JEFFERSON CO.,ORELL,2015-06-26,1624,Thunderstorm Wind,52, ,EG,Trained Spotter, , ,NNE,NNE,ORELL,1624,38.0833,-85.8711,38.0833,-85.8711,A trained spotter reported to the NWS that a large tree fell down on Dearing Woods Road due to severe thunderstorm winds.,"A very warm and unstable air mass brought a few rounds of severe thunderstorms to central Kentucky, starting during the evening hours Thursday June 25th. Isolated storms developed first, producing some sporadic wind damage. Then later that night, a complex of organized storms brought damaging winds, large hail and flash flooding during the early morning hours June 26th. Later that same afternoon, a strong surface low pressure moved across central Kentucky and brought another round of severe storms with damaging winds, large hail and flash flooding.",40272
576561,JEFFERSON CO.,(SDF)STANIFORD FLD L,2015-06-26,1636,Thunderstorm Wind,50, ,MG,ASOS, , ,W,W,(SDF)STANIFORD FLD L,1636,38.18,-85.74,38.18,-85.74,The ASOS at the Louisville International Airport measured a peak wind gust of 50 knots.,"A very warm and unstable air mass brought a few rounds of severe thunderstorms to central Kentucky, starting during the evening hours Thursday June 25th. Isolated storms developed first, producing some sporadic wind damage. Then later that night, a complex of organized storms brought damaging winds, large hail and flash flooding during the early morning hours June 26th. Later that same afternoon, a strong surface low pressure moved across central Kentucky and brought another round of severe storms with damaging winds, large hail and flash flooding.",40209
576960,JEFFERSON CO.,MIDDLETOWN,2015-06-26,1650,Thunderstorm Wind,52, ,EG,Public, , ,W,W,MIDDLETOWN,1650,38.25,-85.54,38.25,-85.54,The public relayed a report of a large Hickory tree down along Harrods Creek Road.,"A very warm and unstable air mass brought a few rounds of severe thunderstorms to central Kentucky, starting during the evening hours Thursday June 25th. Isolated storms developed first, producing some sporadic wind damage. Then later that night, a complex of organized storms brought damaging winds, large hail and flash flooding during the early morning hours June 26th. Later that same afternoon, a strong surface low pressure moved across central Kentucky and brought another round of severe storms with damaging winds, large hail and flash flooding.",40243
576962,JEFFERSON CO.,LONG RUN,2015-06-26,1652,Thunderstorm Wind,52, ,EG,Public, , ,S,S,LONG RUN,1652,38.21,-85.42,38.21,-85.42,The public relayed a report to the NWS of a large cedar tree down across Clark Station Road.,"A very warm and unstable air mass brought a few rounds of severe thunderstorms to central Kentucky, starting during the evening hours Thursday June 25th. Isolated storms developed first, producing some sporadic wind damage. Then later that night, a complex of organized storms brought damaging winds, large hail and flash flooding during the early morning hours June 26th. Later that same afternoon, a strong surface low pressure moved across central Kentucky and brought another round of severe storms with damaging winds, large hail and flash flooding.",40023
575946,JEFFERSON CO.,STRATHMOOR VLG,2015-06-29,1335,Thunderstorm Wind,52, ,EG,NWS Employee, , ,ENE,ENE,STRATHMOOR VLG,1335,38.23,-85.58,38.23,-85.58,An off-duty NWS employee reported numerous trees down in the area.,An upper level weather system combined with a relatively moist and unstable air mass to produce sporadic severe thunderstorms across central Kentucky. Primary hazards were damaging winds and large hail.,40222
575945,JEFFERSON CO.,JEFFERSONTOWN,2015-06-29,1345,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,N,N,JEFFERSONTOWN,1345,38.21,-85.57,38.21,-85.57,A broadcast meteorologist relayed a report of a large tree limb down on Cochrane Elementary.,An upper level weather system combined with a relatively moist and unstable air mass to produce sporadic severe thunderstorms across central Kentucky. Primary hazards were damaging winds and large hail.,40299
575944,JEFFERSON CO.,WOODLAND HILLS,2015-06-29,1350,Hail,0.75, , ,Public, , ,S,S,WOODLAND HILLS,1350,38.24,-85.52,38.24,-85.52,A report of hail 3/4 inch in diameter was received by the public.,An upper level weather system combined with a relatively moist and unstable air mass to produce sporadic severe thunderstorms across central Kentucky. Primary hazards were damaging winds and large hail.,40243
575925,JEFFERSON CO.,EASTWOOD,2015-06-30,1907,Hail,0.88, , ,Public, , ,N,N,EASTWOOD,1907,38.24,-85.45,38.24,-85.45,Nickel size hail was reported to the NWS by the public.,An approaching weather system from the Upper Midwest and lower Great Lakes combined with the moderately moist and unstable air mass during the early evening hours. This produced localized strong to severe thunderstorms across central and eastern Kentucky.,40245
575929,OLDHAM CO.,GOSHEN,2015-06-30,1959,Hail,0.75, , ,NWS Employee, , ,WNW,WNW,GOSHEN,1959,38.41,-85.59,38.41,-85.59,An off-duty NWS employee reported hail 3/4 inch in diameter.,An approaching weather system from the Upper Midwest and lower Great Lakes combined with the moderately moist and unstable air mass during the early evening hours. This produced localized strong to severe thunderstorms across central and eastern Kentucky.,40026
575930,OLDHAM CO.,GOSHEN,2015-06-30,2001,Hail,0.75, , ,Public, , ,WNW,WNW,GOSHEN,2001,38.41,-85.59,38.41,-85.59,A report of 3/4 inch hail was reported to the NWS by the public.,An approaching weather system from the Upper Midwest and lower Great Lakes combined with the moderately moist and unstable air mass during the early evening hours. This produced localized strong to severe thunderstorms across central and eastern Kentucky.,40026
575932,OLDHAM CO.,GOSHEN,2015-06-30,2006,Thunderstorm Wind,52, ,EG,Law Enforcement, , ,WNW,WNW,GOSHEN,2006,38.41,-85.59,38.41,-85.59,A law enforcement official reported trees down along Highway 42.,An approaching weather system from the Upper Midwest and lower Great Lakes combined with the moderately moist and unstable air mass during the early evening hours. This produced localized strong to severe thunderstorms across central and eastern Kentucky.,40026
575931,OLDHAM CO.,GOSHEN,2015-06-30,2007,Hail,1, , ,NWS Employee, , ,WNW,WNW,GOSHEN,2007,38.41,-85.59,38.41,-85.59,An off-duty NWS employee reported 1 inch diameter hail.,An approaching weather system from the Upper Midwest and lower Great Lakes combined with the moderately moist and unstable air mass during the early evening hours. This produced localized strong to severe thunderstorms across central and eastern Kentucky.,40026
581481,BULLITT CO.,GAP IN KNOB,2015-07-10,951,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,N,N,GAP IN KNOB,951,38.02,-85.7,38.02,-85.7,A broadcast meteorologist relayed a report of trees down along Highway 61.,"A moist and unstable air mass interacted with a stalled frontal boundary across central Kentucky and an approaching upper level disturbance to spark a round of severe thunderstorms during the late morning and afternoon hours July 10th. Damaging winds brought down trees and power lines resulting in some structural damage across the area. A couple of short lived tornadoes were also found to have occurred near Fort Knox and Belmont, Kentucky.",40165
581482,BULLITT CO.,SHEPHERDSVILLE,2015-07-10,951,Thunderstorm Wind,52, ,EG,Broadcast Media, , ,NE,NE,SHEPHERDSVILLE,951,37.99,-85.71,37.99,-85.71,A broadcast meteorologist relayed a report of damage to roofs and fences in Shepherdsville due to severe thunderstorm winds.,"A moist and unstable air mass interacted with a stalled frontal boundary across central Kentucky and an approaching upper level disturbance to spark a round of severe thunderstorms during the late morning and afternoon hours July 10th. Damaging winds brought down trees and power lines resulting in some structural damage across the area. A couple of short lived tornadoes were also found to have occurred near Fort Knox and Belmont, Kentucky.",40165
587037,BULLITT CO.,BELMONT,2015-07-10,953,Tornado, ,EF0, ,NWS Storm Survey,0.9,150,NNW,NNE,BELMONT,954,37.8942,-85.7279,37.8963,-85.7122,"A NWS survey, conducted with Bullitt County Emergency management, confirmed a small EF-0 tornado touched down in southern Bullitt County, just east of the eastern boundary of Fort Knox Army Base. This rain-wrapped tornado was only on the ground for about minute, with most of its damage limited to large limbs and weaker tree trunks being snapped.  The tornado started along Belmont Rd (KY Highway 251) 0.7 miles west of Belmont, then traveled east-northeast through the community of Belmont, and lifting just east of Church Street. At least three homes were damaged, two from trees falling on them, with minor roofing damage to a third.  Trees also fell on at least two out buildings. The storm that spawned this tornado was the same one that produced an EF-0 moments earlier 11 miles to the west.","A moist and unstable air mass interacted with a stalled frontal boundary across central Kentucky and an approaching upper level disturbance to spark a round of severe thunderstorms during the late morning and afternoon hours July 10th. Damaging winds brought down trees and power lines resulting in some structural damage across the area. A couple of short lived tornadoes were also found to have occurred near Fort Knox and Belmont, Kentucky.",40150
581825,JEFFERSON CO.,WINDY HILLS,2015-07-12,744,Heavy Rain, , , ,Public, , ,SE,SE,WINDY HILLS,744,38.26,-85.59,38.26,-85.59,A public report of 4.0 inches of rain was relayed to the NWS.,"A complex of slow moving thunderstorms dropped south from southern Indiana into northern Kentucky during the pre-dawn hours Sunday, July 12th. A narrow swath of 2 to locally 5 inches of rain fell from the Louisville metro east/southeastward resulting in some major flash flooding. Approximately 25 water rescues occurred in the Louisville metro during the morning hours. Many roads became impassable as rivers and streams rose out of their banks. Later that afternoon and evening, isolated to scattered thunderstorms developed across the Bluegrass region and produced flash flooding, damaging winds and some large hail.",40242
581826,JEFFERSON CO.,ST MATTHEWS,2015-07-12,758,Heavy Rain, , , ,CoCoRaHS, , ,W,W,ST MATTHEWS,758,38.25,-85.64,38.25,-85.64,"A report of 5.21 of rain was received, which fell over a 4 hour period.","A complex of slow moving thunderstorms dropped south from southern Indiana into northern Kentucky during the pre-dawn hours Sunday, July 12th. A narrow swath of 2 to locally 5 inches of rain fell from the Louisville metro east/southeastward resulting in some major flash flooding. Approximately 25 water rescues occurred in the Louisville metro during the morning hours. Many roads became impassable as rivers and streams rose out of their banks. Later that afternoon and evening, isolated to scattered thunderstorms developed across the Bluegrass region and produced flash flooding, damaging winds and some large hail.",40207
581827,JEFFERSON CO.,WINDY HILLS,2015-07-12,902,Heavy Rain, , , ,NWS Employee, , ,SE,SE,WINDY HILLS,902,38.26,-85.59,38.26,-85.59,An off duty NWS employee reported 3.58 of rain.,"A complex of slow moving thunderstorms dropped south from southern Indiana into northern Kentucky during the pre-dawn hours Sunday, July 12th. A narrow swath of 2 to locally 5 inches of rain fell from the Louisville metro east/southeastward resulting in some major flash flooding. Approximately 25 water rescues occurred in the Louisville metro during the morning hours. Many roads became impassable as rivers and streams rose out of their banks. Later that afternoon and evening, isolated to scattered thunderstorms developed across the Bluegrass region and produced flash flooding, damaging winds and some large hail.",40242
584229,JEFFERSON CO.,BALLARDSVILLE,2015-07-13,1326,Thunderstorm Wind,52, ,EG,Public, , ,SSE,SSE,BALLARDSVILLE,1326,38.3175,-85.5293,38.3175,-85.5293,A public report was received of a tree down across Highway 22.,"A series of upper level disturbances moved from the Upper Midwest into the lower Ohio Valley and interacted with a moist, warm and unstable atmosphere. Strong to severe thunderstorms developed and then organized into bowing segments across the area, spawning three weak tornadoes in addition to widespread areas of downburst wind damage. Thousands of trees were downed, causing scattered power outages and some structural damage.  In addition, due to the very wet antecedent conditions, flash flooding occurred in several locations, resulting in closed and impassable roads, water rescues and significant property damage. The most widespread and hardest hit areas were along and east of Interstate 65 in central Kentucky. Rainfall amounts over the period were in excess of 5 to 7 inches. Several rivers across the region went above flood stage, cresting several feet above flood stage.",40245
